PAIS,DEPARTAMENTO,PROVINCIA,MUNICIPIO,RECINTO,ASIENTO,TIPO-CIRCUN,LATITUD,LONGITUD,CIRCUNSCRIPCION,DISTRITO,CUADRANTE
Bolivia,Beni,General José Ballivián,Reyes,Esc. Soraida,Soraida,Especial,-14.05581,-67.50439,6,.,.
Bolivia,Beni,Moxos,San Ignacio,Esc. Sub-Central Pueblo Nuevo,Pueblo Nuevo,Especial,-15.24535,-65.88788,6,.,.
Bolivia,Beni,General José Ballivián,San Borja,Esc. Tacuaral De Mattos,Tacuaral de Mattos,Especial,-14.99362,-66.53598,6,.,.
Bolivia,Beni,Moxos,San Ignacio,Esc. Trinidacito,Trinidacito,Especial,-15.76319,-65.30994,6,.,.
Bolivia,Beni,Marbán,San Andrés,Esc. Villa Alba,Villa Alba,Uninominal,-15.06132,-64.68153,59,.,.
Bolivia,Beni,Yacuma,Santa Ana,Esc. Wenceslao Añez,El Peru Rio Apere,Uninominal,-14.60486,-65.63189,61,.,.
Bolivia,Beni,Marbán,San Andrés,Esc.Villa Banzer,Villa Banzer,Uninominal,-14.94876,-64.41677,59,.,.
Bolivia,Beni,Marbán,San Andrés,Escuela 4 de Julio,4 de Julio,Uninominal,-15.73327,-63.46377,59,.,.
Bolivia,Beni,Vaca Diez,Riberalta,Escuela Alto Ivon,Alto Ivon,Especial,-11.87361,-66.03656,6,.,.
Bolivia,Beni,General José Ballivián,Santa Rosa,Escuela Australia,Australia,Uninominal,-12.78946,-66.52208,60,.,.
Bolivia,Beni,Cercado,Trinidad,Escuela Casarabe,Casarabe.,Uninominal,-14.87161,-64.47997,58,.,.
Bolivia,Beni,Moxos,San Ignacio,Escuela De Bermeo,Bermeo,Especial,-14.89496,-65.3772,6,.,.
Bolivia,Beni,General José Ballivián,Reyes,Escuela De California,California,Especial,-11.95482,-66.90263,6,.,.
Bolivia,Beni,General José Ballivián,San Borja,Escuela El Oriente Del Yacuma,Oriente,Uninominal,-14.35404,-66.99512,59,.,.
Bolivia,Beni,General José Ballivián,Santa Rosa,Escuela El Rosario,El Rosario,Uninominal,-13.82903,-66.71803,60,.,.
Bolivia,Beni,Marbán,San Andrés,Escuela Elvira,Elvira,Uninominal,-14.92893,-64.60383,59,.,.
Bolivia,Beni,Cercado,San Javier,Escuela Espiritu Santo,Esp?¡ritu Santo,Uninominal,-14.63469,-64.80295,58,.,.
Bolivia,Beni,Cercado,Trinidad,Escuela Iviato,Ibiato,Especial,-14.83285,-64.44854,6,.,.
Bolivia,Beni,Cercado,San Javier,Escuela Laguna Colorada,Laguna Colorada,Uninominal,-14.63861,-64.63057,58,.,.
Bolivia,Beni,Marbán,San Andrés,Escuela Limoncito,Limoncito,Uninominal,-15.917671,-63.383224,59,.,.
Bolivia,Beni,Vaca Diez,Riberalta,Escuela Mariposa,Mariposa,Uninominal,-12.27631,-66.1415,60,.,.
Bolivia,Beni,Vaca Diez,Riberalta,Escuela Nazareth,Nazareth,Uninominal,-11.38739,-66.3375,60,.,.
Bolivia,Beni,Cercado,Trinidad,Escuela Normal Integrada (Temporal),Trinidad,Uninominal,-14.813501,-64.884014,58,.,.
Bolivia,Beni,Cercado,San Javier,Escuela Nueva Israel,Nueva Israel,Uninominal,-14.67209,-64.3355,58,.,.
Bolivia,Beni,Marbán,San Andrés,Escuela Nueva Magdalena,Nueva Magdalena,Uninominal,-15.486105,-63.698764,59,.,.
Bolivia,Beni,Cercado,San Javier,Escuela Pedro Ignacio Muiba,Pedro Ignacio Muiba,Uninominal,-14.49183,-64.08376,58,.,.
Bolivia,Beni,Yacuma,Exaltación,Escuela Puerto Santiago,Puerto Santiago,Especial,-13.10789,-65.20205,6,.,.
Bolivia,Beni,Cercado,San Javier,Escuela San Javier,San Javier,Uninominal,-14.59987,-64.88087,58,.,.
Bolivia,Beni,Yacuma,Exaltación,Escuela San Juan del Jordan,San Juan del Jordán,Uninominal,-12.88492,-66.42942,61,.,.
Bolivia,Beni,Cercado,San Javier,Escuela San Pedro,San Pedro,Especial,-14.33668,-64.90086,6,.,.
Bolivia,Beni,Marbán,Loreto,Escuela Santa Rosa del Chapare,Santa Rosa del Chapare,Uninominal,-15.939349,-64.757217,59,.,.
Bolivia,Beni,Vaca Diez,Riberalta,Escuela Santuario,Santuario,Uninominal,-11.5389,-66.4724,60,.,.
Bolivia,Beni,Moxos,San Ignacio,Escuela Santísima Trinidad,Santisima Trinidad,Especial,-16.61358,-65.76534,6,.,.
Bolivia,Beni,Marbán,San Andrés,Escuela Tajibote,Tajibote,Uninominal,-15.63134,-64.08765,59,.,.
Bolivia,Beni,General José Ballivián,Puerto Menor de Rurrenabaque,Escuela Villa Lourdes,Rurrenabaque,Uninominal,-14.42944,-67.5043,59,.,.
Bolivia,Beni,Marbán,San Andrés,Escuela de Nueva Betania,Nueva Betania,Uninominal,-15.02995,-64.34632,59,.,.
Bolivia,Beni,Moxos,San Ignacio,L. Gilfredo Cortez Candia,San Ignacio,Uninominal,-14.99516,-65.64448,59,.,.
Bolivia,Beni,Cercado,Trinidad,Palacio de los Deportes Trinidad (Temporal),Trinidad,Uninominal,-14.837495,-64.905868,58,.,.
Bolivia,Beni,Vaca Diez,Riberalta,Politecnico Benjamin Bowles,Riberalta,Uninominal,-11.00485,-66.05167,60,.,.
Bolivia,Beni,Marbán,Loreto,Santa Rosa del Isiboro,Santa Rosa del Isiboro,Uninominal,-16.26001,-65.20737,59,.,.
Bolivia,Beni,Cercado,Trinidad,U.A.B. (Carrera de Derecho),Trinidad,Uninominal,-14.83274,-64.91308,58,.,.
Bolivia,Beni,Cercado,Trinidad,U.A.B.Medicina (Temporal),Trinidad,Uninominal,-14.831459,-64.900296,58,.,.
Bolivia,Beni,Vaca Diez,Riberalta,U.E Arca Maranatha (Temporal),Riberalta,Uninominal,-11.001048,-66.066934,60,.,.
Bolivia,Beni,Vaca Diez,Guayaramerín,U.E.   Antonio Vaca Diez,Guayaramerín,Uninominal,-10.81294,-65.35497,61,.,.
Bolivia,Beni,Vaca Diez,Guayaramerín,U.E.   Brasil,Guayaramerín,Uninominal,-10.8307,-65.3572,61,.,.
Bolivia,Beni,Vaca Diez,Guayaramerín,U.E.   Los Almendros,Guayaramerín,Uninominal,-10.83402,-65.3472,61,.,.
Bolivia,Beni,Vaca Diez,Guayaramerín,U.E.   Manuel Vicente Ballivian,Guayaramerín,Uninominal,-10.81116,-65.35051,61,.,.
Bolivia,Beni,Vaca Diez,Riberalta,U.E.   Warnes,Warnes,Uninominal,-10.92752,-65.96947,60,.,.
Bolivia,Beni,Cercado,Trinidad,U.E.  13 de Abril,Trinidad,Uninominal,-14.836254,-64.884349,58,.,.
Bolivia,Beni,Vaca Diez,Riberalta,U.E.  1ro. de Diciembre,Riberalta,Uninominal,-11.01311,-66.07318,60,.,.
Bolivia,Beni,Vaca Diez,Guayaramerín,U.E.  6 de Junio,Tomaycuri,Uninominal,-18.859631,-65.909946,39,.,.
Bolivia,Beni,Vaca Diez,Guayaramerín,U.E.  Alto de la Alianza,Guayaramerín,Uninominal,-10.82369,-65.36181,61,.,.
Bolivia,Beni,Vaca Diez,Riberalta,U.E.  Británica,Riberalta,Uninominal,-11.01523,-66.05006,60,.,.
Bolivia,Beni,Vaca Diez,Riberalta,U.E.  Eduardo Abaroa,Integracion A,Uninominal,-15.115,-61.485,53,.,.
Bolivia,Beni,Vaca Diez,Guayaramerín,U.E.  Elmer Botsford,Guayaramerín,Uninominal,-10.8088,-65.35297,61,.,.
Bolivia,Beni,Cercado,Trinidad,U.E.  Emilio Campos Pedriel,Trinidad,Uninominal,-14.81962,-64.8847,58,.,.
Bolivia,Beni,Vaca Diez,Guayaramerín,U.E.  Evangélico Nacional,Guayaramerín,Uninominal,-10.81791,-65.35439,61,.,.
Bolivia,Beni,Cercado,Trinidad,U.E.  Gral. Hugo Banzer Suarez,Trinidad,Uninominal,-14.77769,-64.9059,58,.,.
Bolivia,Beni,Vaca Diez,Riberalta,U.E.  Ismael Carrasco Telleria,Riberalta,Uninominal,-11.01021,-66.05402,60,.,.
Bolivia,Beni,Vaca Diez,Guayaramerín,U.E.  Lic. Mixto Guayamerin,Guayaramerín,Uninominal,-10.82098,-65.35883,61,.,.
Bolivia,Beni,Vaca Diez,Guayaramerín,U.E.  Manuel Antonio Ojopi,Guayaramerín,Uninominal,-10.81322,-65.35567,61,.,.
Bolivia,Beni,Vaca Diez,Guayaramerín,U.E.  Mejillones,Romero Huma,Uninominal,-17.864482,-67.910706,32,.,.
Bolivia,Beni,Cercado,Trinidad,U.E.  Nueva Trinidad,Trinidad,Uninominal,-14.82357,-64.8754,58,.,.
Bolivia,Beni,Vaca Diez,Riberalta,U.E.  San Francisco,Riberalta,Uninominal,-11.00753,-66.07206,60,.,.
Bolivia,Beni,Vaca Diez,Guayaramerín,U.E.  San José,Cochabamba,Uninominal,-17.389791,-66.19305,20,.,.
Bolivia,Beni,Vaca Diez,Riberalta,U.E.  San Juan,Riberalta,Uninominal,-11.03188,-66.04671,60,.,.
Bolivia,Beni,Vaca Diez,Riberalta,U.E.  Walter Alpire Duran,Riberalta,Uninominal,-11.01164,-66.05729,60,.,.
Bolivia,Beni,Cercado,Trinidad,U.E. 4 De  Febrero,Trinidad,Uninominal,-14.84447,-64.90131,58,.,.
Bolivia,Beni,Vaca Diez,Guayaramerín,U.E. 9 de Abril,Guayaramerín,Uninominal,-10.840114,-65.361814,61,.,.
Bolivia,Beni,Cercado,Trinidad,U.E. Andres Bello (Temporal),Trinidad,Uninominal,-14.825806,-64.904214,58,.,.
Bolivia,Beni,Yacuma,Santa Ana,U.E. Andrés Alberdi Salegui,Santa Ana,Uninominal,-13.7505,-65.4307,61,.,.
Bolivia,Beni,General José Ballivián,San Borja,U.E. Arnulfo Martínez,San Borja,Uninominal,-14.86135,-66.74274,59,.,.
Bolivia,Beni,Mamoré,San Joaquín,U.E. Arturo Cuellar Rea,San Joaqu?¡n,Uninominal,-13.045145,-64.667118,61,.,.
Bolivia,Beni,General José Ballivián,Puerto Menor de Rurrenabaque,U.E. Bajo Colorado,Bajo Colorado,Especial,-14.881,-67.117,6,.,.
Bolivia,Beni,Vaca Diez,Riberalta,U.E. Bella Flor,Bella Flor,Uninominal,-11.330173,-66.211784,60,.,.
Bolivia,Beni,Vaca Diez,Riberalta,U.E. Bolívar,Bolivar,Uninominal,-11.00223,-65.9,60,.,.
Bolivia,Beni,Marbán,San Andrés,U.E. Canaan,Cochabamba,Uninominal,-17.439799,-66.123194,21,.,.
Bolivia,Beni,General José Ballivián,Reyes,U.E. Carmen Alto,Carmen Alto,Especial,-11.71022,-66.36278,6,.,.
Bolivia,Beni,Cercado,Trinidad,U.E. Christa M.Auliffe (Temporal),Trinidad,Uninominal,-14.836109,-64.909451,58,.,.
Bolivia,Beni,Iténez,Magdalena,U.E. Cnel. Carmelo Cuellar J.,Orobayaya,Uninominal,-13.23383,-63.79037,61,.,.
Bolivia,Beni,General José Ballivián,San Borja,U.E. Cochabamba,Cochabamba,Uninominal,-17.395751,-66.159833,21,.,.
Bolivia,Beni,General José Ballivián,Puerto Menor de Rurrenabaque,U.E. Collana Linares,Ticala Linares,Uninominal,-14.701069,-67.21294,59,.,.
Bolivia,Beni,General José Ballivián,San Borja,U.E. Cooperativa Chimane,Puente Yucumo,Especial,-15.163,-67.034,6,.,.
Bolivia,Beni,Cercado,Trinidad,U.E. Corina Hurtado De,Trinidad,Uninominal,-14.84378,-64.89422,58,.,.
Bolivia,Beni,Cercado,Trinidad,U.E. Cuadrangular (Temporal),Trinidad,Uninominal,-14.826312,-64.890971,58,.,.
Bolivia,Beni,Iténez,Baures,U.E. El Cairo,El Cairo,Uninominal,-13.72575,-63.72225,61,.,.
Bolivia,Beni,Vaca Diez,Riberalta,U.E. Federico Demmer,Riberalta,Uninominal,-10.99968,-66.04344,60,.,.
Bolivia,Beni,Vaca Diez,Riberalta,U.E. Felix Sattory Roman,Riberalta,Uninominal,-11.00182,-66.06739,60,.,.
Bolivia,Beni,General José Ballivián,San Borja,U.E. Galilea,Galilea,Especial,-11.417108,-66.567038,7,.,.
Bolivia,Beni,General José Ballivián,Santa Rosa,U.E. Gerardo Reyes,Santa Rosa,Uninominal,-14.07916,-66.79248,60,.,.
Bolivia,Beni,Iténez,Magdalena,U.E. Gil Coimbra Ojopi,Magdalena,Uninominal,-13.25954,-64.05195,61,.,.
Bolivia,Beni,Cercado,Trinidad,U.E. Gonzalo Suarez D.,Trinidad,Uninominal,-14.85325,-64.90136,58,.,.
Bolivia,Beni,General José Ballivián,Reyes,U.E. Gualaguagua,Gualaguagua,Uninominal,-14.34362,-67.28342,60,.,.
Bolivia,Beni,Yacuma,Santa Ana,U.E. Guillermo Searle,Santa Ana,Uninominal,-13.74432,-65.42456,61,.,.
Bolivia,Beni,Cercado,Trinidad,U.E. Hormando Ortiz Chávez,Trinidad,Uninominal,-14.82626,-64.90439,58,.,.
Bolivia,Beni,Cercado,Trinidad,U.E. Instituto Americano (Temporal),Trinidad,Uninominal,-14.833486,-64.904318,58,.,.
Bolivia,Beni,Cercado,Trinidad,U.E. J. Chavez Suarez,Trinidad,Uninominal,-14.8414,-64.90463,58,.,.
Bolivia,Beni,Cercado,Trinidad,U.E. J. Lorenzo Campero,Trinidad,Uninominal,-14.8257,-64.89998,58,.,.
Bolivia,Beni,Cercado,Trinidad,U.E. J.Azurduy De Padilla,Trinidad,Uninominal,-14.82634,-64.8893,58,.,.
Bolivia,Beni,Iténez,Baures,U.E. Jasiaquiri,Jasiaquiri,Uninominal,-13.72094,-63.7384,61,.,.
Bolivia,Beni,General José Ballivián,Reyes,U.E. Jesus Alvarez Rodriguez,Reyes,Uninominal,-14.29483,-67.3343,60,.,.
Bolivia,Beni,Cercado,Trinidad,U.E. Joaquín Hurtado Chavez,Trinidad,Uninominal,-14.81511,-64.90425,58,.,.
Bolivia,Beni,Yacuma,Santa Ana,U.E. John Fitzgerald Kennedy,Santa Ana,Uninominal,-13.735426,-65.42288,61,.,.
